[02:34:18] [main/INFO]: ModLauncher running: args [--username, RedRanger5577, --version, Sky High, --gameDir, C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High, --assetsDir, C:\Users\one\AppData\Roaming\.minecraft\assets, --assetIndex, 1.19, --uuid, ed8ee4031c614ae1b390b38e808c3315, --accessToken, ????????, --clientId, ${clientid}, --xuid, ${auth_xuid}, --userType, mojang, --versionType, release, --width, 925, --height, 530, --launchTarget, forgeclient, --fml.forgeVersion, 43.2.8, --fml.mcVersion, 1.19.2, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20220805.130853]
[02:34:18] [main/INFO]: ModLauncher 10.0.8+10.0.8+main.0ef7e830 starting: java version 17.0.3 by Microsoft; OS Windows 10 arch amd64 version 10.0
[02:34:19] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/one/AppData/Roaming/.minecraft/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%2391!/ Service=ModLauncher Env=CLIENT
[02:34:20] [main/INFO]: Found mod file alexsmobs-1.21.1.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file alloyed-1.19.2-v1.5.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file alltheores-2.0.2-1.19.2-43.1.3.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file AngelRing2-1.19.2-2.1.5.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file apexcore-1.19.2-7.3.1.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file Apotheosis-1.19.2-6.1.5.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file appleskin-forge-mc1.19-2.4.2.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file appliedenergistics2-forge-12.9.2.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file Aquaculture-1.19.2-2.4.8.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file architectury-6.5.69-forge.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file ars_nouveau-1.19.2-3.12.3.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file artifacts-1.19.2-5.0.2.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file AttributeFix-Forge-1.19.2-17.2.6.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file AutoRegLib-1.8.2-55.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file balm-forge-1.19.2-4.5.7.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file basic_discord_rich_presence-1.19.2-1.1.1.14.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file bendy-lib-forge-2.1.1.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file Better+Fishing+Rods+1.0.0+-+1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file bettercombat-forge-1.6.2+1.19.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file betterflight-forge-1.19-1.0.0.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
